villagecode,districtid,district,subcountyid,subcounty,parishid,parish,villageid,village
124070405,124,BUSIA,07,DABANI,04,DABANI,05,BUSABALE B
124070406,124,BUSIA,07,DABANI,04,DABANI,06,BUWUMA A
124070407,124,BUSIA,07,DABANI,04,DABANI,07,BUWUMA B
124070408,124,BUSIA,07,DABANI,04,DABANI,08,DABANI A
124070409,124,BUSIA,07,DABANI,04,DABANI,09,DABANI B
124070410,124,BUSIA,07,DABANI,04,DABANI,10,DABANI EAST
124070411,124,BUSIA,07,DABANI,04,DABANI,11,DABANI WEST
124070412,124,BUSIA,07,DABANI,04,DABANI,12,MULULUMBI A
124070413,124,BUSIA,07,DABANI,04,DABANI,13,MULULUMBI B
124070501,124,BUSIA,07,DABANI,05,NANGWE,01,BUSUMBA A
124070502,124,BUSIA,07,DABANI,05,NANGWE,02,BUSUMBA B
124070503,124,BUSIA,07,DABANI,05,NANGWE,03,MUNDAA 'A'
124070504,124,BUSIA,07,DABANI,05,NANGWE,04,MUNDAA 'B'
124070505,124,BUSIA,07,DABANI,05,NANGWE,05,NANDERE
124070506,124,BUSIA,07,DABANI,05,NANGWE,06,NANGWE 'A'
124070507,124,BUSIA,07,DABANI,05,NANGWE,07,NANGWE 'B'
124070508,124,BUSIA,07,DABANI,05,NANGWE,08,NANGWE NORTH
124070509,124,BUSIA,07,DABANI,05,NANGWE,09,NANGWE SOUTH
124080101,124,BUSIA,08,EASTERN DIVISION,01,CENTRAL WARD,01,NANGWE CUSTOMS ROAD 'A'
124080102,124,BUSIA,08,EASTERN DIVISION,01,CENTRAL WARD,02,NANGWE CUSTOMS ROAD 'B'
124080103,124,BUSIA,08,EASTERN DIVISION,01,CENTRAL WARD,03,NANGWE MUGUNGU 'A'
124080104,124,BUSIA,08,EASTERN DIVISION,01,CENTRAL WARD,04,NANGWE MUGUNGU 'B'
124080201,124,BUSIA,08,EASTERN DIVISION,02,NORTH C WARD,01,MAWERO EAST 'A'
124080202,124,BUSIA,08,EASTERN DIVISION,02,NORTH C WARD,02,MAWERO EAST 'B'
124080301,124,BUSIA,08,EASTERN DIVISION,03,NORTH EAST A WARD,01,ARUBAINE 'A'
124080302,124,BUSIA,08,EASTERN DIVISION,03,NORTH EAST A WARD,02,ARUBAINE 'B'
124080401,124,BUSIA,08,EASTERN DIVISION,04,NORTH EAST B WARD,01,SOFIA 'A'
124080402,124,BUSIA,08,EASTERN DIVISION,04,NORTH EAST B WARD,02,SOFIA 'B'
124080501,124,BUSIA,08,EASTERN DIVISION,05,SOUTH EAST WARD,01,MARACHI 'A'
124080502,124,BUSIA,08,EASTERN DIVISION,05,SOUTH EAST WARD,02,MARACHI 'B'
124080503,124,BUSIA,08,EASTERN DIVISION,05,SOUTH EAST WARD,03,MARACHI 'C'
124080504,124,BUSIA,08,EASTERN DIVISION,05,SOUTH EAST WARD,04,MARACHI 'D'
124090101,124,BUSIA,09,LUMINO,01,BUDIMO,01,BUDIBYA
124090102,124,BUSIA,09,LUMINO,01,BUDIMO,02,BUDIMO 'A'
124090103,124,BUSIA,09,LUMINO,01,BUDIMO,03,BUDIMO 'B'
124090104,124,BUSIA,09,LUMINO,01,BUDIMO,04,BUDIMO 'C'
124090105,124,BUSIA,09,LUMINO,01,BUDIMO,05,BUDIMO 'D'
124090106,124,BUSIA,09,LUMINO,01,BUDIMO,06,BUKOBE A
124090107,124,BUSIA,09,LUMINO,01,BUDIMO,07,BUKOBE B
124090108,124,BUSIA,09,LUMINO,01,BUDIMO,08,NAMUSENDA C
124090201,124,BUSIA,09,LUMINO,02,HASYULE,01,BUGATI
124090202,124,BUSIA,09,LUMINO,02,HASYULE,02,BUKANI
124090203,124,BUSIA,09,LUMINO,02,HASYULE,03,HASYULE A
124090204,124,BUSIA,09,LUMINO,02,HASYULE,04,HASYULE B
124090205,124,BUSIA,09,LUMINO,02,HASYULE,05,NABOLOLA 'A'
124090206,124,BUSIA,09,LUMINO,02,HASYULE,06,NAMUSENDA
124090207,124,BUSIA,09,LUMINO,02,HASYULE,07,NAMUSENDA B
124090208,124,BUSIA,09,LUMINO,02,HASYULE,08,NEBOLOLA 'B'
124090301,124,BUSIA,09,LUMINO,03,LUMINO,01,BUBBALA 'B'
124090302,124,BUSIA,09,LUMINO,03,LUMINO,02,BUYODI
124090303,124,BUSIA,09,LUMINO,03,LUMINO,03,NANDWA A
124090304,124,BUSIA,09,LUMINO,03,LUMINO,04,NANDWA C
124100101,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,01,JINJA WARD,01,BUCHWERE
124100102,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,01,JINJA WARD,02,BUDALANGI A
124100103,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,01,JINJA WARD,03,BUDALANGI B
124100104,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,01,JINJA WARD,04,BUTALA A
124100105,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,01,JINJA WARD,05,BUTALA B
124100106,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,01,JINJA WARD,06,BWERERO A
124100107,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,01,JINJA WARD,07,BWERERO B
124100108,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,01,JINJA WARD,08,DOMA A
124100109,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,01,JINJA WARD,09,DOMA B
124100110,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,01,JINJA WARD,10,MBAJJA B
124100111,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,01,JINJA WARD,11,MBAJJA MUGUNGU
124100112,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,01,JINJA WARD,12,MULANYA
124100113,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,01,JINJA WARD,13,MULUKO
124100114,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,01,JINJA WARD,14,SYAMALEDE A
124100115,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,01,JINJA WARD,15,SYAMALEDE B
124100116,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,01,JINJA WARD,16,NALWIRE
124100201,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,02,LUMINO WARD,01,BULANGI
124100202,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,02,LUMINO WARD,02,BUMALA
124100203,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,02,LUMINO WARD,03,LUMINO I
124100204,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,02,LUMINO WARD,04,LUMINO II
124100205,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,02,LUMINO WARD,05,LUSISIRA
124100206,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,02,LUMINO WARD,06,NANDWA B
124100301,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,03,MAJANJI A WARD,01,BULWANDE A
124100302,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,03,MAJANJI A WARD,02,BULWANDE B
124100303,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,03,MAJANJI A WARD,03,MADWA A
124100304,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,03,MAJANJI A WARD,04,MADWA B
124100305,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,03,MAJANJI A WARD,05,MAJANJI A
124100306,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,03,MAJANJI A WARD,06,MAJANJI B
124100401,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,04,MAJANJI B WARD,01,BUKEMU
124100402,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,04,MAJANJI B WARD,02,MAHOMBI
124100403,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,04,MAJANJI B WARD,03,NAMUNDIRI A
124100404,124,BUSIA,10,LUMINO-MAJANJI TOWN COU,04,MAJANJI B WARD,04,NAMUNDIRI B
124110101,124,BUSIA,11,LUNYO,01,BUSIABALA,01,BUGENGI
124110102,124,BUSIA,11,LUNYO,01,BUSIABALA,02,BUGOMA
124110103,124,BUSIA,11,LUNYO,01,BUSIABALA,03,BUHAMOSI
124110104,124,BUSIA,11,LUNYO,01,BUSIABALA,04,BUKUHU
124110105,124,BUSIA,11,LUNYO,01,BUSIABALA,05,BUSIABALA A
124110106,124,BUSIA,11,LUNYO,01,BUSIABALA,06,BUSIABALA B
124110107,124,BUSIA,11,LUNYO,01,BUSIABALA,07,BUSITABULO
124110201,124,BUSIA,11,LUNYO,02,LUNYO,01,BULONDANI 'A'
124110202,124,BUSIA,11,LUNYO,02,LUNYO,02,BULONDANI 'B'
124110203,124,BUSIA,11,LUNYO,02,LUNYO,03,BULONDANI SIBONA
124110204,124,BUSIA,11,LUNYO,02,LUNYO,04,BUTEMULA
124110205,124,BUSIA,11,LUNYO,02,LUNYO,05,GANJALA A
124110206,124,BUSIA,11,LUNYO,02,LUNYO,06,GANJALA B
124110207,124,BUSIA,11,LUNYO,02,LUNYO,07,LUNYO A
124110208,124,BUSIA,11,LUNYO,02,LUNYO,08,LUNYO B
124110209,124,BUSIA,11,LUNYO,02,LUNYO,09,SIGUMO
124110210,124,BUSIA,11,LUNYO,02,LUNYO,10,SIRERE A
124110211,124,BUSIA,11,LUNYO,02,LUNYO,11,SIRERE B
124110212,124,BUSIA,11,LUNYO,02,LUNYO,12,SIWOLOLO 'A'
124110213,124,BUSIA,11,LUNYO,02,LUNYO,13,SIWOLOLO 'B'
124110301,124,BUSIA,11,LUNYO,03,NALWIRE,01,BUGUBI
124110302,124,BUSIA,11,LUNYO,03,NALWIRE,02,BUHAHALA
124110303,124,BUSIA,11,LUNYO,03,NALWIRE,03,BUHWAMA-BULWANI
124110304,124,BUSIA,11,LUNYO,03,NALWIRE,04,BUHWAMA-RWAHIMBA
124110305,124,BUSIA,11,LUNYO,03,NALWIRE,05,BULEKEI 'A'
124110306,124,BUSIA,11,LUNYO,03,NALWIRE,06,BULEKEI 'B'
124110307,124,BUSIA,11,LUNYO,03,NALWIRE,07,BURANGA
124110308,124,BUSIA,11,LUNYO,03,NALWIRE,08,BUSOHONI
124110309,124,BUSIA,11,LUNYO,03,NALWIRE,09,BUTENGE 'A'
124110310,124,BUSIA,11,LUNYO,03,NALWIRE,10,BUTENGE 'B'
124110311,124,BUSIA,11,LUNYO,03,NALWIRE,11,BUWANGA
124110312,124,BUSIA,11,LUNYO,03,NALWIRE,12,BWALIRO
124110313,124,BUSIA,11,LUNYO,03,NALWIRE,13,MUKINA
124110314,124,BUSIA,11,LUNYO,03,NALWIRE,14,SIRANGA
124110401,124,BUSIA,11,LUNYO,04,NEKUKU,01,BUKHUNYA
124110402,124,BUSIA,11,LUNYO,04,NEKUKU,02,BUMAGINA A
124110403,124,BUSIA,11,LUNYO,04,NEKUKU,03,BUMAGINA B
124110404,124,BUSIA,11,LUNYO,04,NEKUKU,04,MANYOFU
124110405,124,BUSIA,11,LUNYO,04,NEKUKU,05,NEKUKU
124110406,124,BUSIA,11,LUNYO,04,NEKUKU,06,SIDOME
124120101,124,BUSIA,12,MAJANJI,01,DADIRA,01,BUBBALA B
124120102,124,BUSIA,12,MAJANJI,01,DADIRA,02,BUYORE
124120103,124,BUSIA,12,MAJANJI,01,DADIRA,03,DADIRA
124120104,124,BUSIA,12,MAJANJI,01,DADIRA,04,MORORO
124120105,124,BUSIA,12,MAJANJI,01,DADIRA,05,SITENGO
124120201,124,BUSIA,12,MAJANJI,02,JUNGE,01,BUMANANI
124120202,124,BUSIA,12,MAJANJI,02,JUNGE,02,DIKHO
124120203,124,BUSIA,12,MAJANJI,02,JUNGE,03,LUMIDI
124120204,124,BUSIA,12,MAJANJI,02,JUNGE,04,RUGEGA
124120205,124,BUSIA,12,MAJANJI,02,JUNGE,05,SYAKULA
124120206,124,BUSIA,12,MAJANJI,02,JUNGE,06,SYANGU
124120301,124,BUSIA,12,MAJANJI,03,MAJANJI,01,DABALI
124120302,124,BUSIA,12,MAJANJI,03,MAJANJI,02,MADUWA C
124120303,124,BUSIA,12,MAJANJI,03,MAJANJI,03,MAGOMBE
124120304,124,BUSIA,12,MAJANJI,03,MAJANJI,04,NAMUNDIRI C
124120305,124,BUSIA,12,MAJANJI,03,MAJANJI,05,NAMUNDIRI D
124120401,124,BUSIA,12,MAJANJI,04,NAGABITA,01,BUHENYE
124120402,124,BUSIA,12,MAJANJI,04,NAGABITA,02,BUHENYE B
124120403,124,BUSIA,12,MAJANJI,04,NAGABITA,03,BUHENYE C
124120404,124,BUSIA,12,MAJANJI,04,NAGABITA,04,BUTULA A
124120405,124,BUSIA,12,MAJANJI,04,NAGABITA,05,BWAKAMA A
124120406,124,BUSIA,12,MAJANJI,04,NAGABITA,06,BWAKAMA B
124120407,124,BUSIA,12,MAJANJI,04,NAGABITA,07,GANGU
124120408,124,BUSIA,12,MAJANJI,04,NAGABITA,08,MUSUMA
124120409,124,BUSIA,12,MAJANJI,04,NAGABITA,09,NAGABITA
124120410,124,BUSIA,12,MAJANJI,04,NAGABITA,10,NAHABANJO
124130101,124,BUSIA,13,MASABA,01,BUTANGASI,01,BUDULI
124130102,124,BUSIA,13,MASABA,01,BUTANGASI,02,BUSYECHIRA
124130103,124,BUSIA,13,MASABA,01,BUTANGASI,03,BUTANGASI
124130104,124,BUSIA,13,MASABA,01,BUTANGASI,04,BUYUKHA
124130105,124,BUSIA,13,MASABA,01,BUTANGASI,05,DIRAHO
124130106,124,BUSIA,13,MASABA,01,BUTANGASI,06,HUTALE
124130107,124,BUSIA,13,MASABA,01,BUTANGASI,07,LWANGOSYA
124130108,124,BUSIA,13,MASABA,01,BUTANGASI,08,MUNAKA
124130109,124,BUSIA,13,MASABA,01,BUTANGASI,09,MUNDAYA
124130110,124,BUSIA,13,MASABA,01,BUTANGASI,10,SABUNI
124130111,124,BUSIA,13,MASABA,01,BUTANGASI,11,SIFUYO
124130112,124,BUSIA,13,MASABA,01,BUTANGASI,12,SIGALAME A
124130113,124,BUSIA,13,MASABA,01,BUTANGASI,13,SIGALAME B
124130114,124,BUSIA,13,MASABA,01,BUTANGASI,14,SYABO
124130201,124,BUSIA,13,MASABA,02,MASABA,01,BUDEBANI
124130202,124,BUSIA,13,MASABA,02,MASABA,02,BUHAYENJE
124130203,124,BUSIA,13,MASABA,02,MASABA,03,BUJUNULA
124130204,124,BUSIA,13,MASABA,02,MASABA,04,BUJWANGA
124130205,124,BUSIA,13,MASABA,02,MASABA,05,BUKUYUDI
124130206,124,BUSIA,13,MASABA,02,MASABA,06,BUMALAKANI
124130207,124,BUSIA,13,MASABA,02,MASABA,07,BUSINJE
124130208,124,BUSIA,13,MASABA,02,MASABA,08,BUWULUHIRO
124130209,124,BUSIA,13,MASABA,02,MASABA,09,HABOMI
124130210,124,BUSIA,13,MASABA,02,MASABA,10,LWANIHA
124130211,124,BUSIA,13,MASABA,02,MASABA,11,MAGALE
124130212,124,BUSIA,13,MASABA,02,MASABA,12,MAGINA
124130213,124,BUSIA,13,MASABA,02,MASABA,13,MAPEDO
124130214,124,BUSIA,13,MASABA,02,MASABA,14,MASABA
124130215,124,BUSIA,13,MASABA,02,MASABA,15,MBAALE
124130216,124,BUSIA,13,MASABA,02,MASABA,16,MUDONDO
124130217,124,BUSIA,13,MASABA,02,MASABA,17,SEKA
124130218,124,BUSIA,13,MASABA,02,MASABA,18,SIFUYO - MAGALE
124130219,124,BUSIA,13,MASABA,02,MASABA,19,SIRAKANO A
124130220,124,BUSIA,13,MASABA,02,MASABA,20,SIRAKANO B
124130301,124,BUSIA,13,MASABA,03,MBEHENYI,01,BUCHIRAYI
124130302,124,BUSIA,13,MASABA,03,MBEHENYI,02,BUDIKIDI
124130303,124,BUSIA,13,MASABA,03,MBEHENYI,03,BUGALO
124130304,124,BUSIA,13,MASABA,03,MBEHENYI,04,BUKADE
124130305,124,BUSIA,13,MASABA,03,MBEHENYI,05,BUKIA
124130306,124,BUSIA,13,MASABA,03,MBEHENYI,06,BULENGI EAST
124130307,124,BUSIA,13,MASABA,03,MBEHENYI,07,BULENGI WEST
124130308,124,BUSIA,13,MASABA,03,MBEHENYI,08,BULOBI EAST
124130309,124,BUSIA,13,MASABA,03,MBEHENYI,09,BULOBI WEST
124130310,124,BUSIA,13,MASABA,03,MBEHENYI,10,BUMERA
124130311,124,BUSIA,13,MASABA,03,MBEHENYI,11,BUSIRUNDU
124130312,124,BUSIA,13,MASABA,03,MBEHENYI,12,BUSONGA
124130313,124,BUSIA,13,MASABA,03,MBEHENYI,13,BUSULUBI
124130314,124,BUSIA,13,MASABA,03,MBEHENYI,14,BUTACHO
124130315,124,BUSIA,13,MASABA,03,MBEHENYI,15,MAKUNDA ''A''
124130316,124,BUSIA,13,MASABA,03,MBEHENYI,16,MAKUNDA ''B''
124130317,124,BUSIA,13,MASABA,03,MBEHENYI,17,MATOFU
124130318,124,BUSIA,13,MASABA,03,MBEHENYI,18,MBEHENYI
124130319,124,BUSIA,13,MASABA,03,MBEHENYI,19,MUWENJERE
124130320,124,BUSIA,13,MASABA,03,MBEHENYI,20,NABULAMU
124130321,124,BUSIA,13,MASABA,03,MBEHENYI,21,NAMASAGA
124130322,124,BUSIA,13,MASABA,03,MBEHENYI,22,NANJEHO
124130323,124,BUSIA,13,MASABA,03,MBEHENYI,23,NESAGA
124130324,124,BUSIA,13,MASABA,03,MBEHENYI,24,SIBINDUHA
124140101,124,BUSIA,14,MASAFU,01,BUHATUBA,01,BUDANDU
124140102,124,BUSIA,14,MASAFU,01,BUHATUBA,02,BUHATUBA
124140103,124,BUSIA,14,MASAFU,01,BUHATUBA,03,BUKHALIKHA
124140104,124,BUSIA,14,MASAFU,01,BUHATUBA,04,BUMWENGE
124140201,124,BUSIA,14,MASAFU,02,KUBO,01,BUKOBE EAST
124140202,124,BUSIA,14,MASAFU,02,KUBO,02,BUKOBE WEST
124140203,124,BUSIA,14,MASAFU,02,KUBO,03,KUBO EAST
124140204,124,BUSIA,14,MASAFU,02,KUBO,04,KUBO WEST
124140301,124,BUSIA,14,MASAFU,03,MASAFU,01,BUBWIBO
124140302,124,BUSIA,14,MASAFU,03,MASAFU,02,BUWAMBO
124140303,124,BUSIA,14,MASAFU,03,MASAFU,03,BUWANDA
124140304,124,BUSIA,14,MASAFU,03,MASAFU,04,KODEMA
124140305,124,BUSIA,14,MASAFU,03,MASAFU,05,MIRA
124140306,124,BUSIA,14,MASAFU,03,MASAFU,06,MUGANIRO
124140307,124,BUSIA,14,MASAFU,03,MASAFU,07,SICHEHE
124140308,124,BUSIA,14,MASAFU,03,MASAFU,08,SIKOKHWE
124140401,124,BUSIA,14,MASAFU,04,MAWANGA,01,BUDIBYA EAST
124140402,124,BUSIA,14,MASAFU,04,MAWANGA,02,BUDIBYA WEST
124140403,124,BUSIA,14,MASAFU,04,MAWANGA,03,BUHEMBO EAST
124140404,124,BUSIA,14,MASAFU,04,MAWANGA,04,BUHEMBO WEST
124140405,124,BUSIA,14,MASAFU,04,MAWANGA,05,BUMAYI
124140406,124,BUSIA,14,MASAFU,04,MAWANGA,06,BUSEDU
124140407,124,BUSIA,14,MASAFU,04,MAWANGA,07,BUYOSI
124140408,124,BUSIA,14,MASAFU,04,MAWANGA,08,MAWANGA EAST
124140409,124,BUSIA,14,MASAFU,04,MAWANGA,09,MAWANGA WEST
124140410,124,BUSIA,14,MASAFU,04,MAWANGA,10,MUKANGU
124150101,124,BUSIA,15,MASINYA,01,BUMUNJI,01,BUDIBYA
124150102,124,BUSIA,15,MASINYA,01,BUMUNJI,02,BULONGI
124150103,124,BUSIA,15,MASINYA,01,BUMUNJI,03,BUWALIRA
124150104,124,BUSIA,15,MASINYA,01,BUMUNJI,04,BWAYA
124150105,124,BUSIA,15,MASINYA,01,BUMUNJI,05,HADODA
124150201,124,BUSIA,15,MASINYA,02,BUSIKHO,01,BUSIKHO EAST
124150202,124,BUSIA,15,MASINYA,02,BUSIKHO,02,BUSIKHO WEST
124150203,124,BUSIA,15,MASINYA,02,BUSIKHO,03,BUYIMINI EAST
124150204,124,BUSIA,15,MASINYA,02,BUSIKHO,04,BUYIMINI WEST
124150205,124,BUSIA,15,MASINYA,02,BUSIKHO,05,BUYIYE EAST
124150206,124,BUSIA,15,MASINYA,02,BUSIKHO,06,BUYIYE WEST
124150207,124,BUSIA,15,MASINYA,02,BUSIKHO,07,SIDUHUMI
124150301,124,BUSIA,15,MASINYA,03,BUTOTE,01,BUDUMA
124150302,124,BUSIA,15,MASINYA,03,BUTOTE,02,BUHASOHO
124150303,124,BUSIA,15,MASINYA,03,BUTOTE,03,BUJABI NORTH
124150304,124,BUSIA,15,MASINYA,03,BUTOTE,04,BUJABI SOUTH
124150305,124,BUSIA,15,MASINYA,03,BUTOTE,05,BUTOTE
124150306,124,BUSIA,15,MASINYA,03,BUTOTE,06,BUYUYA
124150401,124,BUSIA,15,MASINYA,04,MASINYA,01,BUHUMWA
124150402,124,BUSIA,15,MASINYA,04,MASINYA,02,BULECHA
124150403,124,BUSIA,15,MASINYA,04,MASINYA,03,BUNYUKHE
124150404,124,BUSIA,15,MASINYA,04,MASINYA,04,BUSAMBA
124150405,124,BUSIA,15,MASINYA,04,MASINYA,05,GULAMUBIRI
124160101,124,BUSIA,16,NAMUGONDI TOWN COUNCIL,01,BUHOYA WARD,01,BUHOYA
124160102,124,BUSIA,16,NAMUGONDI TOWN COUNCIL,01,BUHOYA WARD,02,SINGI
124160103,124,BUSIA,16,NAMUGONDI TOWN COUNCIL,01,BUHOYA WARD,03,TENTE
124160201,124,BUSIA,16,NAMUGONDI TOWN COUNCIL,02,BUHUMI WARD,01,BUCHAWULO
124160202,124,BUSIA,16,NAMUGONDI TOWN COUNCIL,02,BUHUMI WARD,02,BUHUMI B
124160203,124,BUSIA,16,NAMUGONDI TOWN COUNCIL,02,BUHUMI WARD,03,BUWERO
124160301,124,BUSIA,16,NAMUGONDI TOWN COUNCIL,03,BULUMBI WARD,01,BULICHE
124160302,124,BUSIA,16,NAMUGONDI TOWN COUNCIL,03,BULUMBI WARD,02,BULUMBI
124160303,124,BUSIA,16,NAMUGONDI TOWN COUNCIL,03,BULUMBI WARD,03,BUMULIMBA B
124160304,124,BUSIA,16,NAMUGONDI TOWN COUNCIL,03,BULUMBI WARD,04,BUMULIMBA CENTRAL
124160305,124,BUSIA,16,NAMUGONDI TOWN COUNCIL,03,BULUMBI WARD,05,NAWANTE
124160401,124,BUSIA,16,NAMUGONDI TOWN COUNCIL,04,NAMUGONDI WARD,01,BUHUMI A
124160402,124,BUSIA,16,NAMUGONDI TOWN COUNCIL,04,NAMUGONDI WARD,02,DABAYERE
124160403,124,BUSIA,16,NAMUGONDI TOWN COUNCIL,04,NAMUGONDI WARD,03,NAMUNGODI TRADING CENTRE
124160404,124,BUSIA,16,NAMUGONDI TOWN COUNCIL,04,NAMUGONDI WARD,04,SYEKOBERO
124170101,124,BUSIA,17,SIKUDA,01,AJUKET,01,ABOLOI
124170102,124,BUSIA,17,SIKUDA,01,AJUKET,02,AJUKET A
124170103,124,BUSIA,17,SIKUDA,01,AJUKET,03,AJUKET B
124170104,124,BUSIA,17,SIKUDA,01,AJUKET,04,AKOBWAIT
124170105,124,BUSIA,17,SIKUDA,01,AJUKET,05,AMAGORO
124170106,124,BUSIA,17,SIKUDA,01,AJUKET,06,ANGOROM
124170107,124,BUSIA,17,SIKUDA,01,AJUKET,07,ATAPARA
124170108,124,BUSIA,17,SIKUDA,01,AJUKET,08,NANGUKE
124170201,124,BUSIA,17,SIKUDA,02,BUCHICHA,01,ABOCHET
124170202,124,BUSIA,17,SIKUDA,02,BUCHICHA,02,AMUNOIT
124170203,124,BUSIA,17,SIKUDA,02,BUCHICHA,03,AUKOT
124170204,124,BUSIA,17,SIKUDA,02,BUCHICHA,04,BUCHICHA 'A'
124170205,124,BUSIA,17,SIKUDA,02,BUCHICHA,05,BUCHICHA 'B'
124170206,124,BUSIA,17,SIKUDA,02,BUCHICHA,06,BUCHICHA CENTRAL
124170207,124,BUSIA,17,SIKUDA,02,BUCHICHA,07,BUSUWU
124170208,124,BUSIA,17,SIKUDA,02,BUCHICHA,08,MUNDAYA
124170209,124,BUSIA,17,SIKUDA,02,BUCHICHA,09,NAKOLA 'A'
124170301,124,BUSIA,17,SIKUDA,03,SIKUDA,01,ASOPOTOIT A
124170302,124,BUSIA,17,SIKUDA,03,SIKUDA,02,ASOPOTOIT B
124170303,124,BUSIA,17,SIKUDA,03,SIKUDA,03,HADADIRA
124170304,124,BUSIA,17,SIKUDA,03,SIKUDA,04,HEKAKA
124170305,124,BUSIA,17,SIKUDA,03,SIKUDA,05,MUSWI
124170306,124,BUSIA,17,SIKUDA,03,SIKUDA,06,SIKUDA
124170307,124,BUSIA,17,SIKUDA,03,SIKUDA,07,SIREKA
124170308,124,BUSIA,17,SIKUDA,03,SIKUDA,08,SIWULIHIRE
124170309,124,BUSIA,17,SIKUDA,03,SIKUDA,09,SYONGA
124170401,124,BUSIA,17,SIKUDA,04,TIIRA,01,AKIPENET
124170402,124,BUSIA,17,SIKUDA,04,TIIRA,02,ANGARAMA
124170403,124,BUSIA,17,SIKUDA,04,TIIRA,03,NAKOLA 'B'
124170404,124,BUSIA,17,SIKUDA,04,TIIRA,04,TABONG
124170405,124,BUSIA,17,SIKUDA,04,TIIRA,05,TIIRA
124170406,124,BUSIA,17,SIKUDA,04,TIIRA,06,TIIRA T/C
124180101,124,BUSIA,18,WESTERN DIVISION,01,NORTH A WARD,01,SOLO 'A'
124180102,124,BUSIA,18,WESTERN DIVISION,01,NORTH A WARD,02,SOLO 'B'
124180201,124,BUSIA,18,WESTERN DIVISION,02,NORTH B WARD,01,MAWERO WEST
124180202,124,BUSIA,18,WESTERN DIVISION,02,NORTH B WARD,02,SOLO 'C'
124180301,124,BUSIA,18,WESTERN DIVISION,03,SOUTH WEST WARD,01,KISENYI 'A'
124180302,124,BUSIA,18,WESTERN DIVISION,03,SOUTH WEST WARD,02,KISENYI 'B'
124180303,124,BUSIA,18,WESTERN DIVISION,03,SOUTH WEST WARD,03,MADIBIRA 'A'
124180304,124,BUSIA,18,WESTERN DIVISION,03,SOUTH WEST WARD,04,MADIBIRA 'B'
124180305,124,BUSIA,18,WESTERN DIVISION,03,SOUTH WEST WARD,05,NANGWE MADIBIRA
124180306,124,BUSIA,18,WESTERN DIVISION,03,SOUTH WEST WARD,06,NANGWE SHOPS
